line,character,dialogue,episode
459,HAN,There s an awful lot of moisture in here.,V
460,LEIA,I don t know. I have a bad feeling about this.,V
461,HAN,Yeah.,V
462,HAN,Watch out!,V
463,HAN,"Yeah, that s what I thought. Mynock. Chewie, check the rest of  the ship, make sure there aren t any more attached. They re chewing on the power cables.",V
464,LEIA,Mynocks?,V
465,HAN,Go on inside. We ll clean them off if there are any more.,V
466,THREEPIO,Ohhh! Go away! Go away! Beastly thing. Shoo! Shoo!,V
467,HAN,Wait a minute...,V
468,HAN,"All right, Chewie, let s get out of here!",V
469,LEIA,The Empire is still out there. I don t think it s wise to...,V
470,HAN,No time to discuss this as a committee.,V
471,LEIA,I am not a committee!,V
472,LEIA,You can t make the jump to light-speed in this asteroid field...,V
473,HAN,"Sit down, sweetheart. We re taking off!",V
474,THREEPIO,Look!,V
475,HAN,"I see it, I see it.",V
476,THREEPIO,We re doomed!,V
477,LEIA,The cave is collapsing.,V
478,HAN,This is no cave.,V
479,LEIA,What?,V
